ID,DATE,MOTD,STARTTIME,WINNER,SEED
1,4/4/20,,,Uconn,
2,4/11/20,,,NONE,
3,4/18/20,,,Uconn,
4,4/25/20,,,Uconn,
5,5/2/20,,,UDel1,
6,5/9/20,,,NateScott,
7,5/16/20,,,NateScott,
8,5/17/20,,,UDel1,
9,5/23/20,The Birthday UHC,,Medium,
10,5/30/20,,,UDel1,motherhood
11,6/8/20,,0:46:07,Uconn,
12,6/15/20,Last Call For Skybases,0:54:14,BC,Brendan
13,6/21/20,UHC The Thirteenth,0:49:22,NateScott,seveenten
