KILLER,VICTIM,UHC,METHOD,TIME,COMMENT,,
seanm105,XmasGoose,37,slew,3:41:04,,,
Wolfzx99,Tran_1230,38,slew,2:19:06,,,
seanm105,Wolfzx99,38,shot,2:44:34,,,
IntenseYogurt,ToaNuparu,38,slew,2:45:04,,,
IntenseYogurt,seanm105,38,slew,2:45:57,,,
XmasGoose,mrdagger17,38,shot,4:16:43,,,
XmasGoose,Inspyur,38,shot,4:16:46,,,
Dunkersplatt,IntenseYogurt,38,shot,4:18:27,,,
Dunkersplatt,XmasGoose,38,slew,4:19:09,,,
brassline,Dunkersplatt,38,slew,4:19:43,,,
YungSpesh,brassline,38,slew,4:19:44,,,
St33n3r,YungSpesh,38,slew,4:20:10,,,
xcatieladyx,St33n3r,38,slew,4:20:12,,,
seanm105,belundun,39,slew,1:50:12,,,
IntenseYogurt,ZenStryk,39,slew,1:50:22,,,
icedrake25,IntenseYogurt,39,slew,1:50:33,,,
Wolfzx99,Shananalovesdem,39,slew,1:50:38,,,
mrdagger17,icedrake25,39,slew,1:50:57,,,
mikecherry,Wolfzx99,39,shot,2:42:56,,,
seanm105,XmasGoose,39,slew,2:43:03,,,
,mrdagger17,39,creeper,2:43:15,,,
,seanm105,39,spider,2:43:40,,,
mikecherry,St33n3r,39,shot,2:45:43,,,
,YungSpesh,39,enderman,2:46:35,,,
Dunkersplatt,mikecherry,39,lava,3:27:47,,,
Dunkersplatt,ToaNuparu,39,slew,3:28:02,,,
Shananalovesdem,DemonicFish,40,slew,1:46:36,,,
Shananalovesdem,ToaNuparu,40,slew,1:47:39,,,
mrdagger17,ZenStryk,40,slew,1:47:43,,,
Shananalovesdem,seanm105,40,slew,1:47:48,,,
belundun,mrdagger17,40,slew,1:47:49,,,
1ottsco,icedrake25,40,shot,3:03:51,,,
XmasGoose,GrandGoon98,40,shot,3:03:52,,,
mikecherry,belundun,40,slew,3:04:04,,,
XmasGoose,Shananalovesdem,40,slew,3:04:11,,,
mikecherry,St33n3r,40,shot,3:05:36,,,
XmasGoose,brassline,40,slew,3:35:38,,,
mikecherry,YungSpesh,40,slew,3:36:06,,,
1ottsco,Dunkersplatt,40,slew,3:36:21,,,
,YungSpesh,41,lava,2:24:21,,,
belundun,mrdagger17,41,slew,2:27:55,,,
icedrake25,seanm105,41,slew,2:28:22,,,
Dunkersplatt,_pau1,41,slew,2:33:35,,,
1ottsco,Wolfzx99,41,shot,2:52:01,,,
1ottsco,ToaNuparu,41,shot,2:56:42,,,
1ottsco,Dunkersplatt,41,shot,3:25:35,,,
1ottsco,St33n3r,41,lava,3:25:58,,,
XmasGoose,Meyeravi,41,burned,3:26:05,,,
XmasGoose,brassline,41,shot,3:26:17,,,
XmasGoose,icedrake25,41,shot,3:31:27,,,
DemonicFish,ZenStryk,41,slew,3:31:39,,,
1ottsco,belundun,41,shot,3:31:47,,,
1ottsco,Shananalovesdem,41,shot,3:32:16,,,
XmasGoose,IntenseYogurt,41,slew,3:35:10,,,
,ToaNuparu,42,zombie,2:11:42,,,
,RARich,42,fell,2:16:13,,,
Dunkersplatt,Albertc5555,42,slew,3:20:21,,,
mikecherry,DemonicFish,42,slew,3:48:36,,,
icedrake25,seanm105,42,slew,3:53:51,,,
ZenStryk,mrdagger17,42,shot,3:53:57,,,
icedrake25,IntenseYogurt,42,shot,3:54:16,,,
belundun,YungSpesh,42,shot,3:55:39,,,
ZenStryk,Dunkersplatt,42,shot,3:55:55,,,
ZenStryk,brassline,42,slew,3:56:27,,,
1ottsco,icedrake25,42,burned,3:56:45,,,
XmasGoose,ZenStryk,42,lava,3:57:47,,,
meddi3,belundun,42,slew,3:59:34,,,
mikecherry,Shananalovesdem,42,slew,3:59:44,,,
mikecherry,St33n3r,42,slew,4:02:08,,,
1ottsco,meddi3,42,burned,4:04:31,,,
XmasGoose,mikecherry,42,lava,4:04:37,,,
Wolfzx99,meddi3,43,slew,0:59:29,,,
IntenseYogurt,mikecherry,43,slew,1:00:08,,,
IntenseYogurt,Albertc5555,43,slew,1:01:43,,,
Dunkersplatt,Shananalovesdem,43,shot,1:22:34,,,
Dunkersplatt,DemonicFish,43,shot,1:24:18,,,
,_pau1,43,fell,2:24:04,,,
1ottsco,Wolfzx99,43,shot,2:33:14,,,
Dunkersplatt,mrdagger17,43,shot,2:37:23,,,
St33n3r,seanm105,43,slew,2:39:16,,,
IntenseYogurt,St33n3r,43,shot,2:39:25,,,
,IntenseYogurt,43,fell,2:40:19,,,
ToaNuparu,brassline,43,slew,2:51:53,,,
Dunkersplatt,ToaNuparu,43,shot,2:53:46,,,
,Dunkersplatt,43,lava,2:53:50,,,
icedrake25,mikecherry,44,slew,0:57:35,,,
,Shananalovesdem,44,creeper,0:58:31,,,
,icedrake25,44,skeleton,1:01:41,,,
,ZenStryk,44,skeleton,1:01:48,,,
IntenseYogurt,DemonicFish,44,slew,1:06:00,,,
IntenseYogurt,Dunkersplatt,44,slew,1:06:01,,,
1ottsco,belundun,44,slew,1:16:22,,,
,_pau1,44,fell,1:41:33,,,
,St33n3r,44,drowned,1:42:15,,,
brassline,ToaNuparu,44,slew,2:35:17,,,
1ottsco,seanm105,44,shot,2:35:21,,,
mrdagger17,brassline,44,slew,2:35:24,,,
1ottsco,mrdagger17,44,shot,2:35:42,,,
1ottsco,IntenseYogurt,44,slew,2:36:30,,,
IntenseYogurt,meddi3,45,slew,1:40:03,,,
IntenseYogurt,Albertc5555,45,slew,1:40:04,,,
mikecherry,Wolfzx99,45,burned,1:57:44,,,
IntenseYogurt,mikecherry,45,slew,1:57:48,,,
,RARich,45,fell,3:07:38,,,
icedrake25,ZenStryk,45,friendlyfire,3:32:54,,,
1ottsco,icedrake25,45,shot,3:34:47,,,
ToaNuparu,1ottsco,45,slew,3:39:48,,,
XmasGoose,Dunkersplatt,45,shot,3:44:11,,,
XmasGoose,xcatieladyx,45,shot,3:44:19,,,
ToaNuparu,SuperiorBoog,45,shot,3:44:21,,,
YungSpesh,ToaNuparu,45,slew,3:44:36,,,
XmasGoose,YungSpesh,45,lava,3:44:42,,,
XmasGoose,seanm105,45,lava,3:48:47,,,
XmasGoose,St33n3r,45,lava,3:56:11,,,
,IntenseYogurt,45,zombie,4:03:52,,,
Tran_1230,XmasGoose,45,shot,4:06:02,,,
DemonicFish,Tran_1230,45,shot,4:06:09,,,
,belundun,45,fell,4:07:00,,,
DemonicFish,brassline,45,shot,4:08:17,,,
DemonicFish,mrdagger17,45,shot,4:08:45,,,
Dunkersplatt,belundun,46,slew,2:12:09,,,
mrdagger17,IntenseYogurt,46,slew,2:12:14,,,
Dunkersplatt,seanm105,46,slew,2:13:34,,,
,mrdagger17,46,burned,2:33:16,,,
,Tran_1230,46,lava,2:51:22,,,
1ottsco,Albertc5555,46,shot,3:00:11,,,
meddi3,1ottsco,46,slew,3:00:24,,,
meddi3,ToaNuparu,46,slew,3:22:55,,,
meddi3,Wolfzx99,46,shot,3:30:06,,,
brassline,XmasGoose,46,shot,3:31:50,,,
Dunkersplatt,Shananalovesdem,46,slew,3:32:42,,,
ZenStryk,DemonicFish,46,shot,3:32:44,,,
ZenStryk,echidnasrock1234,46,shot,3:46:07,,,
mikecherry,ZenStryk,46,slew,4:01:19,,,
brassline,mikecherry,46,slew,4:02:03,,,
meddi3,brassline,46,shot,4:02:40,,,
Dunkersplatt,meddi3,46,fell,4:02:43,,,
mikecherry,St33n3r,47,slew,1:59:11,,,
mikecherry,Dunkersplatt,47,slew,2:01:10,,,
,meddi3,47,fell,2:20:59,,,
,mikecherry,47,fell,2:22:57,,,
,IntenseYogurt,47,fell,2:47:04,,,
1ottsco,mrdagger17,47,shot,2:49:25,,,
XmasGoose,S4ppho,47,lava,2:50:13,,,
1ottsco,Wolfzx99,47,slew,2:52:02,,,
,brassline,47,slew,2:56:43,,,
,YungSpesh,47,zombie,2:56:43,,,
XmasGoose,seanm105,47,slew,2:58:58,,,
,ToaNuparu,47,enderman,3:27:23,,,
,belundun,47,suffocated,3:36:38,,,
1ottsco,ZenStryk,47,shot,3:56:58,,,
XmasGoose,echidnasrock1234,47,shot,3:57:03,,,
1ottsco,Shananalovesdem,47,shot,3:58:32,,,
Dunkersplatt,seanm105,48,slew,1:58:49,,,
Dunkersplatt,Wolfzx99,48,slew,2:04:22,,,
Dunkersplatt,mrdagger17,48,shot,2:05:08,,,
,Tran_1230,48,skeleton,2:30:44,,,
Dunkersplatt,1ottsco,48,shot,2:31:01,,,
,DemonicFish,48,skeleton,2:37:36,,,
,YungSpesh,48,enderman,2:44:39,,,
mikecherry,brassline,48,shot,2:49:48,,,
Albertc5555,Dunkersplatt,48,shot,2:50:09,,,
mikecherry,St33n3r,48,lava,2:05:09,,,
,Shananalovesdem,48,piglin,2:58:09,,,
belundun,icedrake25,48,friendlyfire,3:09:30,,,
mikecherry,belundun,48,slew,3:10:05,,,
mikecherry,XmasGoose,48,shot,3:17:21,,,
IntenseYogurt,ZenStryk,48,slew,3:21:41,,,
Wolfzx99,Shananalovesdem,49,slew,1:50:12,start 1:44:13,,
IntenseYogurt,belundun,49,slew,1:54:10,,,
ZenStryk,mrdagger17,49,slew,1:54:15,,,
IntenseYogurt,ZenStryk,49,slew,1:54:19,,,
IntenseYogurt,ToaNuparu,49,slew,2:11:31,,,
XmasGoose,IntenseYogurt,49,slew,2:11:33,,,
seanm105,Wolfzx99,49,friendlyfire,2:11:35,,,
seanm105,XmasGoose,49,burned,2:11:38,,,
,seanm105,49,skeleton,2:20:26,,,
,YungSpesh,49,creeper,3:24:47,,,
mikecherry,brassline,49,slew,3:27:30,,,
DemonicFish,mikecherry,49,slew,3:31:43,,,
mikecherry,DemonicFish,49,burned,3:31:45,,,
1ottsco,Albertc5555,49,shot,3:32:29,,,
1ottsco,Dunkersplatt,49,shot,3:50:04,,,
1ottsco,St33n3r,49,shot,3:50:09,,,
XmasGoose,YungSpesh,50,shot,2:53:47,start 1:43:04,,
St33n3r,ToaNuparu,50,shot,2:53:51,,,
Shananalovesdem,ZenStryk,50,friendlyfire,2:54:08,,,
,Shananalovesdem,50,burned,2:54:48,,,
Dunkersplatt,DemonicFish,50,slew,2:55:55,,,
brassline,firedrake282,50,slew,3:05:08,,,
1ottsco,Dunkersplatt,50,slew,3:05:15,,,
brassline,catkinson98,50,shot,3:05:25,,,
brassline,icedrake25,50,shot,3:06:05,,,
1ottsco,St33n3r,50,slew,3:06:10,,,
mrdagger17,echidnasrock1234,50,shot,3:34:15,,,
Wolfzx99,XmasGoose,50,slew,3:34:32,,,
IntenseYogurt,belundun,50,shot,3:37:35,,,
seanm105,GrandGoon98,50,shot,3:37:56,,,
Wolfzx99,1ottsco,50,slew,3:55:47,,,
Wolfzx99,mikecherry,50,slew,3:58:27,,,
Wolfzx99,Albertc5555,50,fell,3:58:42,,,
seanm105,meddi3,50,slew,3:58:50,,,
seanm105,brassline,50,shot,3:59:15,,,
,ZenStryk,51,fell,1:49:06,,,
,belundun,51,lava,2:02:17,,,
,Shananalovesdem,51,blaze,2:08:35,,,
,ToaNuparu,51,creeper,2:39:03,,,
,Wolfzx99,51,creeper,2:39:03,,,
1ottsco,seanm105,51,shot,2:43:28,,,
1ottsco,Dunkersplatt,51,shot,2:46:10,,,
XmasGoose,YungSpesh,51,shot,2:46:38,,,
XmasGoose,brassline,51,shot,2:46:49,,,
_pau1,DemonicFish,52,shot,2:01:17,,,
ZenStryk,Wolfzx99,52,shot,2:07:41,,,
echidnasrock1234,mrdagger17,52,shot,2:08:05,,,
ZenStryk,ToaNuparu,52,shot,2:08:20,,,
_pau1,seanm105,52,shot,2:08:49,,,
ZenStryk,1ottsco,52,sht,2:09:06,,,
_pau1,YungSpesh,52,shot,2:09:55,,,
_pau1,XmasGoose,52,shot,2:26:02,,,
Dunkersplatt,_pau1,52,shot,2:26:30,,,
belundun,Dunkersplatt,52,lava,2:27:22,,,
echidnasrock1234,brassline,52,shot,2:28:27,,,
belundun,St33n3r,52,shot,2:28:36,,,
echidnasrock1234,IntenseYogurt,52,shot,2:28:54,,,
Shananalovesdem,_pau1,53,slew,0:23:38,,,
,ZenStryk,53,fell,0:37:47,,,
,Albertc5555,53,zombie,0:46:05,,,
,belundun,53,creeper,0:54:30,,,
,echidnasrock1234,53,lava,1:22:25,,,
,Shananalovesdem,53,suffocated,1:26:38,,,
,mikecherry,53,fell,1:31:30,,,
,meddi3,53,lava,1:36:07,,,
1ottsco,ToaNuparu,53,friendlyfire,1:43:35,,,
,XmasGoose,53,zombie,1:43:40,,,
ToaNuparu,DemonicFish,53,wolf,1:43:49,,,
1ottsco,Dunkersplatt,53,shot,1:59:15,,,
IntenseYogurt,ZenStryk,54,slew,0:20:35,,,
Shananalovesdem,mrdagger17,54,slew,0:21:06,,,
ToaNuparu,DemonicFish,54,lava,0:21:15,,,
Wolfzx99,Shananalovesdem,54,slew,0:21:17,,,
,belundun,54,burned,0:42:44,,,
ToaNuparu,YungSpesh,54,slew,1:21:00,,,
seanm105,Dunkersplatt,54,slew,1:21:12,,,
brassline,ToaNuparu,54,shot,1:21:34,,,
IntenseYogurt,brassline,54,slew,1:21:51,,,
IntenseYogurt,_pau1,54,slew,1:28:30,,,
meddi3,XmasGoose,54,slew,1:59:08,,,
meddi3,1ottsco,54,slew,1:59:12,,,
Wolfzx99,Albertc5555,54,shot,1:59:38,,,
mikecherry,seanm105,54,shot,2:00:21,,,
Wolfzx99,meddi3,54,slew,2:00:43,,,
IntenseYogurt,mikecherry,54,slew,2:00:56,,,
IntenseYogurt,Meyeravi,55,burned,0:12:55,,,
mrdagger17,YungSpesh,55,slew,0:12:55,,,
brassline,ToaNuparu,55,lava,0:13:16,,,
IntenseYogurt,Dunkersplatt,55,slew,0:13:44,,,
,brassline,55,lava,0:30:01,,,
icedrake25,IntenseYogurt,55,slew,0:46:35,,,
DemonicFish,mrdagger17,55,slew,0:46:53,,,
braiiinz,seanm105,55,slew,0:47:05,,,
echidnasrock1234,DemonicFish,55,shot,0:56:47,,,
echidnasrock1234,Shananalovesdem,55,shot,0:57:14,,,
_pau1,icedrake25,55,shot,0:57:22,,,
_pau1,braiiinz,55,shot,1:00:03,,,
mikecherry,mrdagger17,56,slew,1:18:20,,,
XmasGoose,ToaNuparu,56,slew,1:18:59,,,
meddi3,seanm105,56,slew,1:19:11,,,
XmasGoose,IntenseYogurt,56,slew,1:22:50,,,
XmasGoose,1ottsco,56,friendlyfire,2:04:05,,,
XmasGoose,icedrake25,56,shot,2:04:11,,,
mikecherry,Meyeravi,56,lava,2:10:07,,,
belundun,mikecherry,56,shot,2:11:00,,,
meddi3,_pau1,56,shot,2:11:25,,,
brassline,meddi3,56,slew,2:11:43,,,
Dunkersplatt,belundun,56,shot,2:15:52,,,
Dunkersplatt,Shananalovesdem,56,fell,2:24:53,,,
XmasGoose,Dunkersplatt,56,slew,2:25:00,,,
YungSpesh,XmasGoose,56,slew,2:25:12,,,
IntenseYogurt,echidnasrock1234,57,slew,0:23:27,,,
IntenseYogurt,_pau1,57,slew,0:23:44,,,
IntenseYogurt,mrdagger17,57,friendlyfire,0:23:50,,,
seanm105,ZenStryk,57,slew,0:23:56,,,
IntenseYogurt,belundun,57,slew,0:23:56,,,
BethanBlast,seanm105,57,shot,0:24:01,,,
IntenseYogurt,BethanBlast,57,slew,0:24:25,,,
1ottsco,ToaNuparu,57,slew,0:42:50,,,
Dunkersplatt,Tran_1230,57,shot,0:43:03,,,
XmasGoose,IntenseYogurt,57,slew,0:43:12,,,
XmasGoose,icedrake25,58,slew,1:24:34,,,
1ottsco,ZenStryk,58,slew,1:24:34,,,
XmasGoose,_pau1,58,friendlyfire,1:24:38,might have been icedrake,,
Dunkersplatt,belundun,58,shot,1:24:39,,,
Dunkersplatt,BethanBlast,58,shot,1:24:53,,,
1ottsco,echidnasrock1234,58,shot,1:26:20,,,
Tran_1230,XmasGoose,58,slew,1:31:21,,,
Dunkersplatt,seanm105,58,slew,1:31:35,,,
mrdagger17,Dunkersplatt,58,slew,1:31:35,,,
IntenseYogurt,YungSpesh,58,lava,1:31:42,,,
1ottsco,Tran_1230,58,lava,1:31:47,,,
1ottsco,mrdagger17,58,shot,1:31:59,,,
1ottsco,IntenseYogurt,58,slew,1:33:29,,,
1ottsco,ToaNuparu,58,slew,1:34:07,,,
XmasGoose,belundun,59,burned,0:47:30,,,
1ottsco,DemonicFish,59,shot,1:07:39,,,
echidnasrock1234,seanm105,59,shot,1:09:07,,,
mrdagger17,echidnasrock1234,59,slew,1:09:10,,,
1ottsco,Tran_1230,59,shot,1:10:31,,,
XmasGoose,mrdagger17,59,lava,1:10:33,,,
1ottsco,Dunkersplatt,59,shot,1:13:01,,,
1ottsco,YungSpesh,59,lava,1:13:14,,,
XmasGoose,Meyeravi,59,shot,1:14:22,,,
XmasGoose,brassline,59,shot,1:14:26,,,
,belundun,60,fell,1:31:06,,,
1ottsco,Tran_1230,60,shot,2:00:15,,,
echidnasrock1234,XmasGoose,60,shot,2:13:13,,,
1ottsco,icedrake25,60,slew,2:13:35,,,
echidnasrock1234,1ottsco,60,slew,2:13:45,,,
seanm105,echidnasrock1234,60,slew,2:14:41,,,
YungSpesh,seanm105,60,shot,2:17:16,,,
,IntenseYogurt,60,fell,2:17:38,,,
YungSpesh,mrdagger17,60,shot,2:17:51,,,
seanm105,YungSpesh,61,shot,0:34:55,,,
Wolfzx99,St33n3r,61,slew,0:45:27,,,
IntenseYogurt,Shananalovesdem,61,shot,0:59:32,,,
DemonicFish,ToaNuparu,61,slew,0:59:36,,,
XmasGoose,echidnasrock1234,61,slew,1:00:02,,,
belundun,mrdagger17,61,shot,1:00:08,,,
1ottsco,Wolfzx99,61,slew,1:00:12,,,
IntenseYogurt,belundun,61,slew,1:00:33,,,
1ottsco,IntenseYogurt,61,slew,1:01:04,,,
DemonicFish,seanm105,61,slew,1:01:12,,,
brassline,XmasGoose,61,slew,1:02:05,,,
1ottsco,Dunkersplatt,61,slew,1:02:21,,,
1ottsco,brassline,61,slew,1:02:36,,,
1ottsco,DemonicFish,61,shot,1:07:43,,,
YungSpesh,brassline,62,slew,1:30:35,,,
XmasGoose,mrdagger17,62,slew,1:30:36,,,
St33n3r,seanm105,62,slew,1:31:18,,,
1ottsco,XmasGoose,62,shot,2:21:38,,,
1ottsco,St33n3r,62,shot,2:21:40,,,
1ottsco,YungSpesh,62,slew,2:22:09,,,
