ID,DATE,MOTD,STARTTIME,WINNER,SEED
1,,,,Uconn,
2,,,,NONE,
3,,,,Uconn,
4,,,,Uconn,
5,,,,Nate/Monster/Frazz,
6,,,,Nate/Scott,
7,,,,Chad/Nate/Scott/Frazz,
8,,,,TomNate,
9,5/23/20,The Birthday UHC,,Medium,
10,5/30/20,,,Nate/Joe/Frazz/Swampy,motherhood
11,6/8/20,,46:07:00,Uconn,
12,6/15/20,Last Call For Skybases,54:14:00,BC,Brendan
